treatment,variety,yield.n,yield.mean,yield.sd
con,Frank,7,11.1185714,0.56291
wl,Frank,7,4.8237143,1.1357655
con,Macq,7,10.4201,1.1588766
wl,Macq,7,6.7618571,1.0385399
con,Macq-,7,9.8500286,0.7693951
wl,Macq-,7,6.7321905,0.7944994
con,Macq+,7,9.6311143,0.7229818
wl,Macq+,7,8.2079429,1.2504465
con,Planet,7,12.2583571,1.0660065
wl,Planet,7,5.8901905,0.833003
con,Planet-,3,13.1173333,1.0995023
wl,Planet-,3,6.3217778,0.8215588
con,Planet+,3,12.8278333,1.0935109
wl,Planet+,3,7.7393333,0.6523281
con,TAM169,4,12.0876,0.6893325
wl,TAM169,4,10.327,0.7554698
con,TAMF169,3,11.6122,0.27635
wl,TAMF169,3,8.69292,0.3273143
con,Westm,3,10.3137778,0.3925016
wl,Westm,3,6.781,0.365154
con,Westm-,3,9.3875556,0.8511235
wl,Westm-,3,6.2528889,0.5286399
con,Westm-2,3,8.4408889,0.1020878
wl,Westm-2,3,5.5195556,0.6717742
con,Westm+,3,9.8032889,0.552274
wl,Westm+,3,7.7794889,0.3843099
con,Westm+2,3,8.2168889,0.1019833
wl,Westm+2,3,6.1733333,0.3885586
con,Westminister,4,11.3588,0.4998105
wl,Westminister,4,8.6192,0.5920562
con,Westminister-1,4,10.2174,0.5741401
wl,Westminister-1,4,9.113,0.8177261
con,Westminister-2,4,9.37135,1.3659425
wl,Westminister-2,4,9.068,1.2866743
con,Westminister-5,4,11.0396,0.9487332
wl,Westminister-5,4,9.158,1.4537143
con,Westminister-6,4,10.4799,1.0077714
wl,Westminister-6,4,7.615,0.5909574
con,Westminister+1,4,9.993,0.84288
wl,Westminister+1,4,9.827,0.6677594
con,Westminister+2,4,9.647,1.0638615
wl,Westminister+2,4,7.437,1.9688653
con,Westminister+3,4,10.2941,1.1348073
wl,Westminister+3,4,8.808,1.4991304
con,Westminister+4,4,9.9691,0.2723228
wl,Westminister+4,4,8.873,1.9886515
con,Westminister+5,4,10.1922,1.1653331
wl,Westminister+5,4,9.464,1.4437322
con,Westminister+6,4,10.2524,1.1480751
wl,Westminister+6,4,7.975,0.6887467
con,Yerong,7,10.7556476,2.1452776
wl,Yerong,7,8.9949524,2.2165713
con,YF163,7,9.8436,1.191952
wl,YF163,7,3.3819048,0.8370417
con,YF225,7,10.5686381,1.0298748
wl,YF225,7,8.9885714,2.1376182
