Sample  ,CBDVA,CBDA,THCVA,THCA,treatment,edge1
1,0.045136,1.112453511,0.017,0.669377007,5,y
2,0.031104889,0.856689778,0.0138,0.548709511,4,y
3,0.033911111,0.710794667,0.008966667,0.427840178,3,y
4,0.041844444,0.724279111,0.0088,0.438840296,8,y
5,0.043742222,0.992389333,0.013266667,0.64758637,9,y
6,0.031733333,0.709084444,0.011466667,0.408098963,6,y
7,0.035448,0.885079467,0.0147,0.53874963,3,y
8,0.030445333,0.889118222,0.0112,0.552001007,8,y
9,0.038608889,0.844126222,0.012666667,0.523689481,9,y
10,0.027377778,0.584698667,0.003333333,0.359735704,10,y
11,0.032604444,0.763943111,0.012886667,0.467563259,3,y
12,0.03192,0.923256889,0.012986667,0.549617778,7,n
13,0.034782222,0.818933333,0.013073333,0.477189333,9,n
14,0.0308,1.009688889,0.017533333,0.626936889,4,n
15,0.024702222,0.710268444,0.0096,0.425643259,6,y
16,0.032144,0.67192,0.0098,0.408176593,10,y
17,0.030551111,0.924927644,0.009733333,0.548841481,2,n
18,0.039262222,1.04488,0.014866667,0.615137185,1,n
19,0.025405333,0.873134222,0.009266667,0.537391111,2,n
20,0.040568889,0.812289778,0.011266667,0.456772741,5,y
21,0.031235556,0.659290667,0.0096,0.388613926,7,y
22,0.033537778,0.757036444,0.00844,0.456928,8,n
23,0.027128889,0.794398222,0.010533333,0.480449778,7,n
24,0.043182222,1.007715556,0.013066667,0.579039407,1,n
25,0.028497778,0.825774222,0.011866667,0.493258667,4,y
26,0.027004444,0.999756444,0.013866667,0.603880889,9,y
27,0.017297778,0.757102222,0.008466667,0.438995556,1,n
28,0.027688889,0.755392,0.007733333,0.428437926,6,n
29,0.028,0.688627556,0.009533333,0.422227556,7,n
30,0.037768889,0.715267556,0.010966667,0.413144889,3,y
31,0.033848889,0.848862222,0.011133333,0.474161778,8,y
32,0.040631111,0.712899556,0.007933333,0.388691556,6,y
33,0.032990222,0.979694222,0.013033333,0.543640296,5,y
34,0.034595556,0.830819378,0.008933333,0.470047407,10,y
35,0.028062222,0.848730667,0.012266667,0.462672593,2,y
36,0.023955556,0.647121778,0.003333333,0.389545481,2,y
37,0.024702222,0.994428444,0.013933333,0.582222222,9,y
38,0.02464,0.584665778,0.01,0.339008593,10,y
39,0.034097778,0.882935111,0.01072,0.468106667,6,y
40,0.032417778,1.031395556,0.0156,0.598524444,8,y
41,0.037208889,0.854124444,0.012666667,0.499934815,4,y
42,0.031608889,0.956408889,0.0158,0.556449185,10,y
43,0.03416,0.958842667,0.013533333,0.552722963,2,y
44,0.036835556,0.774007111,0.010866667,0.459800296,5,y
45,0.02968,0.857347556,0.011933333,0.502574222,1,y
46,0.026817778,0.914311111,0.013066667,0.583774815,1,y
47,0.03024,0.712833778,0.008,0.42766163,5,y
48,0.027856889,0.895235556,0.010046667,0.558312296,4,y
49,0.036711111,1.107895111,0.013333333,0.672039704,3,y
50,0.023768889,0.694613333,0.008133333,0.392650667,7,y
