"rate","product","height.n","height.mean","height.sd"
"RATE0",0, 5.0000000,25.5000000, 2.9580399
"RATE1",1, 5.0000000,11.9000000, 2.1330729
"RATE2",1, 4.0000000,13.6250000, 4.4976846
"RATE3",1, 5.0000000,17.4000000, 3.7815341
"RATE4",1, 5.0000000,21.9000000, 4.3069711
"RATE5",1, 5.0000000,26.9000000, 6.7767987
"RATE1",2, 5.0000000, 9.8000000, 1.0954451
"RATE2",2, 4.0000000,11.0000000, 0.7071068
"RATE3",2, 5.0000000,21.2000000, 6.0477268
"RATE4",2, 5.0000000,19.1000000, 4.9040799
"RATE5",2, 4.0000000,18.2500000, 3.7749172
"RATE1",3, 5.0000000,11.7000000, 2.9495762
"RATE2",3, 5.0000000,12.1000000, 2.8591957
"RATE3",3, 5.0000000,14.3000000, 0.9746794
"RATE4",3, 5.0000000,20.4000000, 6.8774995
"RATE5",3, 5.0000000,29.3000000, 5.8480766
